soundname, nsyll, npause, dur (s), phonationtime (s), speechrate (nsyll/dur), articulation rate (nsyll / phonationtime), ASD (speakingtime/nsyll)
anonymouskartulispeechrecognition1359848564644-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2013-02-03_03_43_1359848601974_axla_ar_mcalia_da_sagamos_gadmoval__2013-02-03_03_43_1359848601974, 12, 6, 28.72, 3.14, 0.42, 3.82, 0.262
anonymouskartulispeechrecognition1359848564644-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2013-02-03_03_43_1359848601974_axla_ar_mcalia_da_sagamos_gadmoval__2013-02-03_03_43_1359848601974, 13, 6, 28.79, 3.49, 0.45, 3.73, 0.268
anonymouskartulispeechrecognition1359848564644-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2013-02-03_03_48_1359848915615_axla_ar_mcalia_da_sagamos_gadmoval__2013-02-03_03_48_1359848915615, 31, 7, 14.50, 9.46, 2.14, 3.28, 0.305
anonymouskartulispeechrecognition1359848564644-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2013-02-03_03_48_1359848915615_axla_ar_mcalia_da_sagamos_gadmoval__2013-02-03_03_48_1359848915615, 31, 7, 14.58, 9.49, 2.13, 3.27, 0.306
anonymouskartulispeechrecognition1359848564644-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2013-02-03_03_52_1359849123592_axla_ar_mcalia_da_sagamos_gadmoval__2013-02-03_03_52_1359849123592, 18, 5, 8.10, 5.28, 2.22, 3.41, 0.294
anonymouskartulispeechrecognition1359848564644-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2013-02-03_03_52_1359849123592_axla_ar_mcalia_da_sagamos_gadmoval__2013-02-03_03_52_1359849123592, 17, 5, 8.18, 5.34, 2.08, 3.18, 0.314
anonymouskartulispeechrecognition1403021155559-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-17_20_06_1403021179356_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-17_20_06_1403021179356, 12, 1, 5.94, 3.67, 2.02, 3.27, 0.306
anonymouskartulispeechrecognition1403021155559-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-17_20_06_1403021179356_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-17_20_06_1403021179356, 12, 1, 6.01, 3.72, 2.00, 3.23, 0.310
anonymouskartulispeechrecognition1403023589738-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-20_18_58_1403276317021_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-20_18_58_1403276317021, 6, 3, 4.00, 1.66, 1.50, 3.61, 0.277
anonymouskartulispeechrecognition1403023589738-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-20_18_58_1403276317021_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-20_18_58_1403276317021, 6, 3, 4.08, 1.73, 1.47, 3.46, 0.289
anonymouskartulispeechrecognition1403023589738-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-21_23_14_1403378057089_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-21_23_14_1403378057089, 25, 0, 13.50, 13.50, 1.85, 1.85, 0.540
anonymouskartulispeechrecognition1403023589738-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-21_23_14_1403378057089_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-21_23_14_1403378057089, 27, 0, 13.56, 13.56, 1.99, 1.99, 0.502
